lat,long,restriction_score,neighbourhood group,host_type,id
40.70766,-73.95191,1,Brooklyn,Professional,1439862
40.71422,-73.9484,1,Brooklyn,Professional,1440415
40.76001,-73.99133,1,Manhattan,Individual,1440967
40.66441,-73.97974,1,Brooklyn,Professional,1441519
40.69657,-73.9129,1,Brooklyn,Individual,1443728
40.71947,-73.95252,1,Brooklyn,Individual,1452565
40.7625,-73.9869,1,Manhattan,Individual,1455879
40.67335,-73.96,1,Brooklyn,Individual,1456984
40.80497,-73.95146,1,Manhattan,Individual,1457536
40.70736,-73.94331,1,Brooklyn,Professional,1458088
40.71095,-73.95239,1,Brooklyn,Individual,1464163
40.70918,-73.94881,2,Brooklyn,Professional,1464716
40.71653,-73.95554,1,Brooklyn,Professional,1468582
40.70638,-73.96627,2,Brooklyn,Individual,1469686
40.66795,-73.89232,4,Brooklyn,Professional,1473000
40.79596,-73.94463,2,Manhattan,Individual,1475762
40.78012,-73.98439,1,Manhattan,Individual,1476314
40.62318,-74.07848,2,Staten Island,Individual,1480180
40.82451,-73.94457,1,Manhattan,Professional,1481285
40.69348,-73.95927,2,Brooklyn,Individual,1481837
40.79107,-73.94381,2,Manhattan,Individual,1483494
40.71819,-73.95414,1,Brooklyn,Professional,1493988
40.71368,-73.94478,1,Brooklyn,Individual,1496749
40.74016,-73.97665,1,Manhattan,Individual,1499511
40.75782,-73.99349,4,Manhattan,Professional,1511109
40.72886,-74.00013,1,Manhattan,Individual,1513870
40.71682,-73.96369,1,Brooklyn,Individual,1515527
40.67725,-73.9821,1,Brooklyn,Individual,1516080
40.67188,-73.97533,1,Brooklyn,Individual,1517184
40.65846,-73.95057,1,Brooklyn,Professional,1518289
40.71515,-73.99029,2,Manhattan,Individual,1519393
40.72986,-73.97913,2,Manhattan,Individual,1519946
40.66039,-73.95937,2,Brooklyn,Individual,1520498
40.75407,-73.96713,2,Manhattan,Individual,1521603
40.70712,-73.94013,2,Brooklyn,Individual,1522155
40.74553,-73.98943,1,Manhattan,Professional,1522707
40.77584,-73.9502,1,Manhattan,Individual,1523260
40.79967,-73.95156,1,Manhattan,Professional,1523812
40.80142,-73.96931,1,Manhattan,Individual,1524364
40.67962,-73.97655,2,Brooklyn,Individual,1525469
40.7376,-73.95678,2,Brooklyn,Individual,1526573
40.71148,-73.95573,2,Brooklyn,Professional,1527126
40.72899,-73.97792,2,Manhattan,Individual,1528230
40.72488,-73.94013,1,Brooklyn,Individual,1528783
40.59721,-73.95149,2,Brooklyn,Individual,1532649
40.80334,-73.94805,1,Manhattan,Professional,1533753
40.7685,-73.96034,2,Manhattan,Individual,1536515
40.76082,-73.97548,1,Manhattan,Individual,1537067
40.71151,-73.81561,1,Queens,Professional,1539829
40.76013,-73.99007,1,Manhattan,Individual,1542038
40.72049,-73.95221,1,Brooklyn,Professional,1543695
40.83091,-73.94223,3,Manhattan,Individual,1545352
40.70339,-73.92945,2,Brooklyn,Individual,1549218
40.66009,-73.96237,1,Brooklyn,Individual,1549770
40.72812,-73.97966,1,Manhattan,Individual,1553084
40.65937,-73.95906,2,Brooklyn,Individual,1558054
40.72278,-73.9967,2,Manhattan,Professional,1560264
40.66924,-73.94406,2,Brooklyn,Professional,1561368
40.69321,-73.9442,1,Brooklyn,Individual,1562473
40.71348,-73.94447,1,Brooklyn,Individual,1563025
40.72212,-73.94389,1,Brooklyn,Professional,1565787
40.71804,-73.98565,2,Manhattan,Individual,1567996
40.74406,-73.98273,1,Manhattan,Individual,1570757
40.67436,-73.956,2,Brooklyn,Professional,1572967
40.79234,-73.96482,1,Manhattan,Individual,1574071
40.67763,-73.97185,1,Brooklyn,Individual,1575728
40.68472,-73.96691,1,Brooklyn,Individual,1576280
40.73775,-74.00344,1,Manhattan,Individual,1579042
40.7108,-73.96226,1,Brooklyn,Individual,1580146
40.78911,-73.97396,2,Manhattan,Individual,1586222
40.68813,-73.92817,1,Brooklyn,Professional,1586774
40.74906,-73.89377,1,Queens,Professional,1590088
40.62897,-73.90334,1,Brooklyn,Professional,1592849
40.77555,-73.9767,1,Manhattan,Individual,1593402
40.72183,-73.94908,2,Brooklyn,Individual,1596715
40.68881,-73.95405,1,Brooklyn,Professional,1597820
40.73204,-74.00189,1,Manhattan,Individual,1602238
40.72917,-73.98811,2,Manhattan,Individual,1603343
40.7061,-73.94531,1,Brooklyn,Professional,1603895
40.68905,-73.9541,1,Brooklyn,Professional,1608314
40.67615,-73.95441,2,Brooklyn,Professional,1608866
40.7111,-73.94643,1,Brooklyn,Professional,1609418
40.68944,-73.9376,2,Brooklyn,Individual,1609971
40.71012,-74.01504,1,Manhattan,Individual,1613837
40.7502,-73.94189,1,Queens,Professional,1618807
40.76487,-73.98471,1,Manhattan,Individual,1619912
40.70743,-73.96728,1,Brooklyn,Individual,1631510
40.65854,-73.98384,1,Brooklyn,Individual,1632615
40.67858,-73.98537,1,Brooklyn,Professional,1633720
40.70821,-73.95352,1,Brooklyn,Professional,1634272
40.66158,-73.98954,1,Brooklyn,Individual,1634824
40.79313,-73.93493,2,Manhattan,Professional,1637033
40.75632,-73.96464,2,Manhattan,Individual,1638138
40.67211,-73.976,1,Brooklyn,Individual,1639795
40.64229,-73.96548,1,Brooklyn,Individual,1661887
40.70753,-73.92048,1,Brooklyn,Individual,1664096
40.67709,-73.95237,1,Brooklyn,Individual,1665753
40.68586,-73.9809,1,Brooklyn,Individual,1667410
40.74348,-73.9998,1,Manhattan,Individual,1669067
40.68679,-73.97378,1,Brooklyn,Individual,1669619
40.64625,-73.97932,2,Brooklyn,Individual,1671276
40.82749,-73.9382,1,Manhattan,Individual,1675694
40.82822,-73.92439,2,Bronx,Individual,1680113
40.80762,-73.94017,1,Manhattan,Individual,1681770
40.66119,-73.98822,1,Brooklyn,Professional,1685083
40.71872,-73.96042,1,Brooklyn,Professional,1698891
40.65841,-73.95016,1,Brooklyn,Professional,1703309
40.75578,-73.81948,2,Queens,Professional,1703862
40.69271,-73.99365,1,Brooklyn,Individual,1704414
40.69073,-73.96762,2,Brooklyn,Individual,1706071
40.6599,-73.98279,1,Brooklyn,Individual,1708280
40.7964,-73.9675,2,Manhattan,Individual,1708832
40.81757,-73.94709,1,Manhattan,Professional,1711042
40.72274,-73.97934,2,Manhattan,Individual,1715460
40.68343,-73.99189,2,Brooklyn,Individual,1716012
40.70202,-73.92402,1,Brooklyn,Individual,1722640
40.81199,-73.95116,1,Manhattan,Professional,1725401
40.68586,-73.9501,1,Brooklyn,Professional,1725954
40.65204,-73.94938,1,Brooklyn,Individual,1726506
40.71603,-73.95665,2,Brooklyn,Individual,1727611
40.7641,-73.98803,1,Manhattan,Individual,1728715
40.73047,-73.98229,1,Manhattan,Individual,1730372
40.6772,-73.9506,2,Brooklyn,Individual,1730924
40.66488,-73.98079,1,Brooklyn,Individual,1732581
40.77115,-73.92275,1,Queens,Individual,1735895
40.72692,-73.99948,3,Manhattan,Individual,1738104
40.72949,-73.95493,3,Brooklyn,Professional,1739209
40.71099,-73.95217,1,Brooklyn,Individual,1740313
40.73041,-74.00326,1,Manhattan,Individual,1740866
40.70989,-73.95347,2,Brooklyn,Professional,1743075
40.72466,-73.99632,2,Manhattan,Individual,1744180
40.6877,-73.95824,1,Brooklyn,Individual,1745836
40.77247,-73.94665,1,Manhattan,Individual,1747493
40.75128,-73.97658,5,Manhattan,Individual,1748046
40.86284,-73.91955,2,Manhattan,Professional,1749150
40.69082,-73.99281,1,Brooklyn,Individual,1752464
40.73587,-73.88279,1,Queens,Professional,1762958
40.67376,-73.99648,2,Brooklyn,Individual,1764615
40.76876,-73.99473,3,Manhattan,Individual,1772347
40.71455,-73.93739,1,Brooklyn,Individual,1775108
40.65826,-73.95951,1,Brooklyn,Individual,1775661
40.80338,-73.95594,2,Manhattan,Individual,1777318
40.77975,-73.94977,2,Manhattan,Individual,1780631
40.74609,-73.94691,1,Queens,Professional,1781736
40.65193,-73.97301,1,Brooklyn,Professional,1784497
40.67639,-73.96003,3,Brooklyn,Individual,1787259
40.50868,-74.23986,1,Staten Island,Individual,1788364
40.73727,-74.00213,1,Manhattan,Individual,1789468
40.68648,-73.99257,1,Brooklyn,Individual,1790020
40.69382,-73.95002,1,Brooklyn,Individual,1791677
40.71827,-73.96259,1,Brooklyn,Individual,1793334
40.82312,-73.94971,2,Manhattan,Professional,1794439
40.8224,-73.94358,1,Manhattan,Individual,1794991
40.76376,-73.99161,1,Manhattan,Individual,1795543
